VenueType,Venue,Year,DOI,pages
Conference,ICSE,2019,10.1109/ICSE.2019.00123,11
Conference,ICSE,2019,10.1109/ICSE.2019.00058,11
Conference,ICSE,2019,10.1109/ICSE.2019.00022,12
Conference,ICSE,2019,10.1109/ICSE.2019.00030,12
Conference,ICSE,2019,10.1109/ICSE.2019.00032,12
Conference,ICSE,2019,10.1109/ICSE.2019.00073,12
Conference,ICSE,2019,10.1109/ICSE.2019.00082,12
Conference,ICSE,2019,10.1109/ICSE.2019.00084,12
Conference,ICSE,2019,10.1109/ICSE.2019.00118,11
Conference,ICSE,2019,10.1109/ICSE.2019.00029,12
Conference,ICSE,2019,10.1109/ICSE.2019.00114,12
Conference,ICSE,2019,10.1109/ICSE.2019.00127,12
Conference,ICSE,2019,10.1109/ICSE.2019.00066,12
Conference,ICSE,2019,10.1109/ICSE.2019.00083,11
Conference,ICSE,2019,10.1109/ICSE.2019.00099,12
Conference,ICSE,2019,10.1109/ICSE.2019.00103,12
Conference,ICSE,2019,10.1109/ICSE.2019.00071,11
Conference,ICSE,2019,10.1109/ICSE.2019.00023,11
Conference,ICSE,2019,10.1109/ICSE.2019.00091,11
Conference,ICSE,2019,10.1109/ICSE.2019.00075,12
Conference,ICSE,2019,10.1109/ICSE.2019.00040,11
Conference,ICSE,2019,10.1109/ICSE.2019.00051,11
Conference,ICSE,2019,10.1109/ICSE.2019.00096,12
Conference,ICSE,2019,10.1109/ICSE.2019.00113,12
Conference,ICSE,2019,10.1109/ICSE.2019.00046,12
Conference,ICSE,2019,10.1109/ICSE.2019.00024,12
Conference,ICSE,2019,10.1109/ICSE.2019.00054,11
Conference,ICSE,2019,10.1109/ICSE.2019.00119,11
Conference,ICSE,2019,10.1109/ICSE.2019.00039,12
Conference,ICSE,2019,10.1109/ICSE.2019.00111,11
Conference,ICSE,2019,10.1109/ICSE.2019.00121,12
Conference,ICSE,2019,10.1109/ICSE.2019.00062,12
Conference,ICSE,2019,10.1109/ICSE.2019.00033,12
Conference,ICSE,2019,10.1109/ICSE.2019.00065,12
Conference,ICSE,2019,10.1109/ICSE.2019.00070,12
Conference,ICSE,2019,10.1109/ICSE.2019.00078,12
Conference,ICSE,2019,10.1109/ICSE.2019.00059,11
Conference,ICSE,2019,10.1109/ICSE.2019.00126,12
Conference,ICSE,2019,10.1109/ICSE.2019.00055,11
Conference,ICSE,2019,10.1109/ICSE.2019.00112,11
Conference,ICSE,2019,10.1109/ICSE.2019.00098,12
Conference,ICSE,2019,10.1109/ICSE.2019.00109,11
Conference,ICSE,2019,10.1109/ICSE.2019.00064,12
Conference,ICSE,2019,10.1109/ICSE.2019.00106,11
Conference,ICSE,2019,10.1109/ICSE.2019.00088,12
Conference,ICSE,2019,10.1109/ICSE.2019.00117,12
Conference,ICSE,2019,10.1109/ICSE.2019.00086,12
Conference,ICSE,2019,10.1109/ICSE.2019.00077,11
Conference,ICSE,2019,10.1109/ICSE.2019.00108,11
Conference,ICSE,2019,10.1109/ICSE.2019.00035,12
Conference,ICSE,2019,10.1109/ICSE.2019.00089,12
Conference,ICSE,2019,10.1109/ICSE.2019.00076,11
Conference,ICSE,2019,10.1109/ICSE.2019.00056,12
Conference,ICSE,2019,10.1109/ICSE.2019.00025,11
Conference,ICSE,2019,10.1109/ICSE.2019.00036,12
Conference,ICSE,2019,10.1109/ICSE.2019.00067,12
Conference,ICSE,2019,10.1109/ICSE.2019.00125,11
Conference,ICSE,2019,10.1109/ICSE.2019.00085,12
Conference,ICSE,2019,10.1109/ICSE.2019.00057,12
Conference,ICSE,2019,10.1109/ICSE.2019.00037,11
Conference,ICSE,2019,10.1109/ICSE.2019.00053,12
Conference,ICSE,2019,10.1109/ICSE.2019.00044,12
Conference,ICSE,2019,10.1109/ICSE.2019.00069,12
Conference,ICSE,2019,10.1109/ICSE.2019.00116,11
Conference,ICSE,2019,10.1109/ICSE.2019.00107,12
Conference,ICSE,2019,10.1109/ICSE.2019.00115,12
Conference,ICSE,2019,10.1109/ICSE.2019.00063,12
Conference,ICSE,2019,10.1109/ICSE.2019.00080,12
Conference,ICSE,2019,10.1109/ICSE.2019.00060,12
Conference,ICSE,2019,10.1109/ICSE.2019.00041,12
Conference,ICSE,2019,10.1109/ICSE.2019.00097,12
Conference,ICSE,2019,10.1109/ICSE.2019.00079,12
Conference,ICSE,2019,10.1109/ICSE.2019.00031,12
Conference,ICSE,2019,10.1109/ICSE.2019.00093,12
Conference,ICSE,2019,10.1109/ICSE.2019.00101,11
Conference,ICSE,2019,10.1109/ICSE.2019.00034,12
Conference,ICSE,2019,10.1109/ICSE.2019.00050,11
Conference,ICSE,2019,10.1109/ICSE.2019.00068,12
